This is my awesome data!,,,,,
,,,,,
,vegetable,variety,date,weight,units
,lettuce,Lettuce Mixture,7/31/20,107,grams
,cucumbers,pickling,7/31/20,174,grams
,tomatoes,Bonny Best,8/1/20,435,grams
,tomatoes,Brandywine,8/1/20,320,grams
,tomatoes,Cherokee Purple,8/1/20,619,grams
,tomatoes,Amish Paste,8/1/20,97,grams
,tomatoes,Black Krim,8/1/20,436,grams
,tomatoes,grape,8/1/20,168,grams
,zucchini,Romanesco,8/1/20,164,grams
,cucumbers,pickling,8/1/20,1130,grams
,basil,Isle of Naxos,8/1/20,137,grams
,jalapeño,giant,8/1/20,74,grams
,cilantro,cilantro,8/1/20,17,grams
,onions,Delicious Duo,8/1/20,182,grams
,zucchini,Romanesco,8/2/20,1175,grams
,tomatoes,Amish Paste,8/2/20,509,grams
,tomatoes,Black Krim,8/2/20,857,grams
,tomatoes,Old German,8/2/20,336,grams
,tomatoes,Bonny Best,8/2/20,156,grams
,tomatoes,Better Boy,8/2/20,211,grams
,tomatoes,grape,8/2/20,102,grams
,tomatoes,Better Boy,8/3/20,308,grams
,zucchini,Romanesco,8/3/20,252,grams
,cucumbers,pickling,8/3/20,1155,grams
,beans,Bush Bush Slender,8/3/20,572,grams
,lettuce,Lettuce Mixture,8/3/20,65,grams
,kale,Heirloom Lacinto,8/3/20,383,grams
,tomatoes,Bonny Best,8/4/20,387,grams
,tomatoes,Brandywine,8/4/20,231,grams
,tomatoes,volunteers,8/4/20,73,grams
,tomatoes,Mortgage Lifter,8/4/20,339,grams
,tomatoes,grape,8/4/20,118,grams
,peppers,variety,8/4/20,270,grams
,jalapeño,giant,8/4/20,162,grams
,lettuce,Lettuce Mixture,8/4/20,56,grams
,peppers,variety,8/4/20,192,grams
,onions,Long Keeping Rainbow,8/4/20,195,grams
,peppers,green,8/4/20,81,grams
,jalapeño,giant,8/4/20,87,grams
,hot peppers,thai,8/4/20,24,grams
,hot peppers,variety,8/4/20,40,grams
,spinach,Catalina,8/4/20,44,grams
,zucchini,Romanesco,8/4/20,427,grams
,tomatoes,Bonny Best,8/5/20,563,grams
,tomatoes,Brandywine,8/5/20,290,grams
,tomatoes,Mortgage Lifter,8/5/20,781,grams
,tomatoes,Big Beef,8/5/20,223,grams
,tomatoes,Amish Paste,8/5/20,382,grams
,tomatoes,grape,8/5/20,217,grams
,tomatoes,volunteers,8/5/20,67,grams
,beans,Classic Slenderette,8/5/20,41,grams
,beans,Bush Bush Slender,8/5/20,234,grams
,tomatoes,Black Krim,8/6/20,393,grams
,tomatoes,Big Beef,8/6/20,307,grams
,tomatoes,Amish Paste,8/6/20,175,grams
,tomatoes,Cherokee Purple,8/6/20,303,grams
,cucumbers,pickling,8/6/20,127,grams
,lettuce,Lettuce Mixture,8/6/20,98,grams
,carrots,Bolero,8/6/20,164,grams
,carrots,Dragon,8/6/20,442,grams
,potatoes,purple,8/6/20,317,grams
,potatoes,yellow,8/6/20,439,grams
,tomatoes,Bonny Best,8/7/20,359,grams
,tomatoes,Brandywine,8/7/20,356,grams
,tomatoes,Old German,8/7/20,233,grams
,tomatoes,Mortgage Lifter,8/7/20,364,grams
,tomatoes,Better Boy,8/7/20,1045,grams
,tomatoes,Jet Star,8/7/20,562,grams
,tomatoes,grape,8/7/20,292,grams
,zucchini,Romanesco,8/7/20,1219,grams
,cucumbers,pickling,8/7/20,1327,grams
,carrots,Bolero,8/7/20,255,grams
,lettuce,Lettuce Mixture,8/7/20,19,grams
,tomatoes,Big Beef,8/8/20,162,grams
,tomatoes,grape,8/8/20,81,grams
,tomatoes,Bonny Best,8/8/20,564,grams
,tomatoes,Jet Star,8/8/20,184,grams
,beans,Chinese Red Noodle,8/8/20,108,grams
,beans,Classic Slenderette,8/8/20,122,grams
,cucumbers,pickling,8/8/20,1697,grams
,beans,Bush Bush Slender,8/8/20,545,grams
,zucchini,Romanesco,8/8/20,445,grams
,kale,Heirloom Lacinto,8/8/20,305,grams
,tomatoes,Bonny Best,8/9/20,179,grams
,tomatoes,Jet Star,8/9/20,591,grams
,tomatoes,Better Boy,8/9/20,1102,grams
,tomatoes,Cherokee Purple,8/9/20,308,grams
,tomatoes,volunteers,8/9/20,54,grams
,tomatoes,grape,8/9/20,64,grams
,zucchini,Romanesco,8/9/20,443,grams
,onions,Long Keeping Rainbow,8/9/20,118,grams
,Swiss chard,Neon Glow,8/9/20,302,grams
,basil,Isle of Naxos,8/10/20,13,grams
,potatoes,yellow,8/10/20,272,grams
,potatoes,purple,8/10/20,168,grams
,tomatoes,Cherokee Purple,8/10/20,216,grams
,tomatoes,Jet Star,8/10/20,241,grams
,Swiss chard,Neon Glow,8/10/20,309,grams
,carrots,Bolero,8/10/20,221,grams
,zucchini,Romanesco,8/11/20,731,grams
,tomatoes,grape,8/11/20,302,grams
,tomatoes,Bonny Best,8/11/20,307,grams
,tomatoes,volunteers,8/11/20,160,grams
,beans,Bush Bush Slender,8/11/20,755,grams
,cucumbers,pickling,8/11/20,1029,grams
,beans,Chinese Red Noodle,8/11/20,78,grams
,beans,Classic Slenderette,8/11/20,245,grams
,tomatoes,Brandywine,8/11/20,218,grams
,tomatoes,Cherokee Purple,8/11/20,802,grams
,tomatoes,Better Boy,8/11/20,354,grams
,tomatoes,Black Krim,8/11/20,359,grams
,tomatoes,Amish Paste,8/11/20,506,grams
,lettuce,Lettuce Mixture,8/11/20,92,grams
,edamame,edamame,8/11/20,109,grams
